ipc          	l1i_miss     	l2_miss      	l3_miss      	cache_miss   
0.44         	55.77        	55.95        	56.06        	44.50        
0.44         	55.69        	56.20        	56.02        	44.41        
0.43         	55.88        	56.08        	56.19        	44.44        
0.44         	55.65        	56.16        	55.97        	44.49        
0.43         	55.68        	56.24        	56.00        	44.44        
0.43         	55.77        	56.21        	56.10        	44.38        
0.43         	55.90        	56.13        	56.22        	44.29        
0.44         	55.83        	56.05        	56.14        	44.26        
0.46         	55.90        	56.16        	56.25        	44.26        
0.43         	55.82        	56.02        	56.12        	44.39        
0.42         	55.91        	56.16        	56.10        	44.15        
0.44         	55.83        	56.07        	56.15        	44.35        
0.43         	55.65        	55.92        	55.96        	44.47        
0.44         	55.72        	56.06        	56.04        	44.44        
0.44         	55.90        	56.14        	56.24        	44.24        
0.44         	55.92        	56.17        	55.98        	44.12        
0.44         	55.70        	55.97        	56.01        	44.50        
0.44         	55.73        	56.08        	56.06        	44.42        
0.44         	55.68        	55.96        	55.99        	44.47        
0.43         	55.80        	56.03        	56.13        	44.30        
0.43         	55.70        	56.14        	56.00        	44.45        
0.44         	55.70        	56.12        	56.03        	44.37        
0.43         	55.75        	56.01        	56.05        	44.44        
0.45         	55.69        	56.00        	56.00        	44.48        
0.43         	55.71        	55.96        	56.03        	44.38        
0.44         	55.67        	55.98        	55.99        	44.48        
0.43         	55.85        	56.09        	56.17        	44.21        
0.44         	55.70        	56.08        	55.99        	44.50        
0.44         	55.78        	56.10        	56.10        	44.39        
0.45         	55.67        	56.05        	55.98        	44.48        
0.43         	55.88        	56.13        	56.22        	44.24        
0.44         	55.78        	56.14        	56.10        	44.37        
0.42         	55.68        	55.96        	55.98        	44.47        
0.43         	55.63        	56.13        	55.94        	44.48        
0.44         	55.71        	56.07        	56.02        	44.44        
0.44         	55.83        	56.07        	56.14        	44.28        
0.45         	55.78        	56.20        	56.10        	44.36        
0.44         	55.71        	56.20        	56.04        	44.39        
0.44         	55.79        	56.00        	56.09        	44.50        
0.44         	55.85        	56.20        	56.18        	44.29        
0.40         	55.61        	56.00        	55.93        	44.46        
0.43         	55.82        	56.03        	56.13        	44.45        
0.44         	55.68        	56.05        	56.00        	44.43        
0.43         	55.73        	56.02        	56.02        	44.50        
0.44         	55.58        	56.25        	55.92        	44.53        
0.43         	55.73        	56.02        	56.04        	44.45        
0.44         	55.86        	56.12        	56.20        	44.17        
0.45         	55.62        	56.07        	55.94        	44.45        
0.43         	55.73        	56.10        	56.08        	44.36        
0.43         	55.90        	56.15        	56.22        	44.20        
0.44         	55.78        	55.98        	56.06        	44.45        
0.43         	55.70        	55.90        	55.99        	44.49        
0.44         	55.63        	56.01        	55.97        	44.50        
0.42         	55.82        	56.04        	56.15        	44.42        
0.44         	55.65        	56.19        	55.97        	44.50        
0.44         	55.72        	56.08        	56.04        	44.42        
0.45         	55.62        	55.98        	55.94        	44.47        
0.44         	55.73        	56.03        	56.06        	44.41        
0.43         	55.59        	55.98        	55.92        	44.47        
0.43         	55.62        	55.97        	55.95        	44.47        
0.43         	55.77        	55.98        	56.07        	44.51        
0.45         	55.70        	56.20        	56.00        	44.46        
0.44         	55.64        	56.09        	55.94        	44.53        
0.44         	55.74        	55.97        	56.03        	44.46        
0.44         	55.73        	56.14        	56.07        	44.37        
0.44         	55.93        	56.19        	56.26        	44.23        
0.43         	55.77        	55.99        	56.06        	44.49        
0.45         	55.84        	56.07        	56.16        	44.22        
0.44         	55.75        	55.98        	56.06        	44.38        
0.44         	55.69        	56.00        	56.00        	44.45        
0.41         	55.60        	56.18        	55.92        	44.51        
0.42         	55.59        	56.17        	55.93        	44.51        
0.45         	55.90        	56.15        	56.23        	44.20        
0.43         	55.67        	56.03        	56.00        	44.42        
0.44         	55.72        	55.97        	56.00        	44.41        
0.43         	55.91        	56.16        	56.25        	44.19        
0.44         	55.95        	56.13        	55.97        	44.11        
0.43         	55.72        	56.10        	56.03        	44.50        
