cpu(%)       	iowait(%)    	mem(MB/s)    	disk_w(MB/s) 	disk_r(MB/s) 	disk_tot(MB/s)	net_r(Mbps)  	net_s(Mbps)  	net_tot(Mbps)
4.37         	0.00         	373.07       	0.00         	0.00         	0.00         	48.26        	26.91        	75.17        
4.37         	0.00         	388.42       	0.00         	0.00         	0.00         	48.59        	27.09        	75.69        
4.44         	0.00         	389.75       	0.00         	0.00         	0.00         	48.20        	26.88        	75.08        
4.56         	0.00         	395.75       	0.04         	0.00         	0.04         	48.17        	26.86        	75.03        
4.45         	0.08         	389.90       	0.05         	0.00         	0.05         	48.33        	26.94        	75.27        
4.39         	0.00         	383.86       	0.00         	0.00         	0.00         	48.50        	27.06        	75.56        
4.41         	0.00         	393.88       	0.00         	0.00         	0.00         	48.23        	26.92        	75.15        
4.47         	0.00         	382.77       	0.00         	0.00         	0.00         	48.21        	26.90        	75.10        
4.57         	0.00         	398.46       	0.03         	0.00         	0.03         	48.48        	27.04        	75.52        
4.48         	0.08         	380.78       	0.03         	0.00         	0.03         	48.50        	27.04        	75.54        
4.55         	0.00         	374.33       	0.00         	0.00         	0.00         	48.33        	26.94        	75.27        
4.39         	0.00         	385.33       	0.00         	0.00         	0.00         	48.31        	26.94        	75.25        
4.30         	0.00         	383.98       	0.00         	0.00         	0.00         	48.40        	26.98        	75.38        
4.53         	0.00         	383.58       	0.02         	0.00         	0.02         	48.19        	26.86        	75.05        
4.31         	0.00         	389.50       	0.01         	0.00         	0.01         	48.61        	27.11        	75.72        
4.56         	0.04         	351.04       	0.00         	0.00         	0.00         	48.65        	27.13        	75.78        
4.37         	0.00         	378.03       	0.00         	0.00         	0.00         	48.09        	26.82        	74.91        
4.43         	0.00         	375.43       	0.00         	0.00         	0.00         	48.62        	27.10        	75.72        
4.35         	0.00         	386.68       	0.01         	0.00         	0.01         	48.76        	27.16        	75.93        
4.36         	0.04         	379.20       	0.02         	0.00         	0.02         	48.23        	26.90        	75.13        
4.56         	0.00         	361.27       	0.00         	0.00         	0.00         	48.14        	26.85        	74.99        
4.39         	0.00         	382.44       	0.00         	0.00         	0.00         	48.59        	27.09        	75.68        
4.23         	0.00         	390.77       	0.00         	0.00         	0.00         	48.45        	27.03        	75.48        
4.39         	0.00         	374.85       	0.02         	0.00         	0.02         	48.48        	27.07        	75.55        
4.52         	0.00         	351.61       	0.01         	0.00         	0.01         	48.23        	26.87        	75.10        
4.39         	0.04         	382.14       	0.00         	0.00         	0.00         	48.45        	27.04        	75.49        
4.61         	0.00         	387.56       	0.00         	0.00         	0.00         	48.54        	27.09        	75.63        
4.37         	0.00         	388.27       	0.00         	0.00         	0.00         	48.78        	27.21        	75.99        
4.51         	0.00         	380.68       	0.01         	0.00         	0.01         	48.29        	26.92        	75.21        
4.42         	0.08         	367.17       	0.03         	0.00         	0.03         	48.32        	26.95        	75.28        
4.42         	0.00         	379.11       	0.00         	0.00         	0.00         	48.39        	26.99        	75.38        
4.59         	0.00         	390.90       	0.00         	0.00         	0.00         	48.37        	26.97        	75.34        
4.22         	0.00         	393.60       	0.00         	0.00         	0.00         	48.30        	26.92        	75.23        
4.20         	0.00         	395.35       	0.02         	0.00         	0.02         	48.66        	27.14        	75.80        
4.53         	0.08         	381.34       	0.04         	0.00         	0.04         	48.31        	26.94        	75.25        
4.39         	0.00         	380.61       	0.00         	0.00         	0.00         	48.31        	26.94        	75.25        
4.64         	0.00         	393.63       	0.00         	0.00         	0.00         	48.52        	27.05        	75.57        
4.53         	0.00         	364.65       	0.00         	0.00         	0.00         	48.34        	26.95        	75.29        
4.40         	0.00         	386.07       	0.03         	0.00         	0.03         	48.16        	26.84        	75.00        
4.52         	0.08         	380.04       	0.02         	0.00         	0.02         	48.50        	27.02        	75.52        
4.40         	0.00         	404.09       	0.00         	0.00         	0.00         	48.33        	26.97        	75.30        
4.35         	0.00         	389.81       	0.00         	0.00         	0.00         	48.36        	26.98        	75.34        
4.51         	0.00         	387.06       	0.00         	0.00         	0.00         	48.60        	27.12        	75.72        
4.29         	0.00         	385.34       	0.01         	0.00         	0.01         	48.49        	27.02        	75.51        
4.58         	0.00         	397.09       	0.02         	0.00         	0.02         	48.20        	26.87        	75.07        
4.51         	0.08         	394.39       	0.00         	0.00         	0.00         	48.69        	27.16        	75.85        
4.36         	0.00         	392.38       	0.00         	0.00         	0.00         	48.84        	27.25        	76.09        
4.38         	0.00         	379.37       	0.00         	0.00         	0.00         	48.45        	27.03        	75.48        
4.49         	0.00         	380.23       	0.01         	0.00         	0.01         	48.53        	27.06        	75.60        
4.36         	0.00         	386.06       	0.02         	0.00         	0.02         	48.21        	26.88        	75.09        
4.34         	0.08         	377.08       	0.00         	0.00         	0.00         	48.29        	26.91        	75.20        
4.44         	0.00         	387.02       	0.00         	0.00         	0.00         	48.39        	26.98        	75.37        
4.62         	0.00         	367.41       	0.00         	0.00         	0.00         	48.56        	27.09        	75.65        
4.59         	0.00         	376.82       	0.02         	0.00         	0.02         	48.78        	27.19        	75.97        
4.48         	0.08         	382.69       	0.02         	0.00         	0.02         	48.51        	27.04        	75.55        
4.47         	0.00         	379.71       	0.00         	0.00         	0.00         	48.31        	26.94        	75.25        
4.42         	0.00         	382.80       	0.00         	0.00         	0.00         	48.73        	27.17        	75.89        
4.51         	0.00         	397.50       	0.00         	0.00         	0.00         	48.46        	27.02        	75.48        
4.43         	0.00         	384.96       	0.02         	0.00         	0.02         	48.60        	27.09        	75.69        
4.39         	0.00         	375.24       	0.03         	0.00         	0.03         	48.59        	27.09        	75.68        
4.34         	0.08         	385.96       	0.00         	0.00         	0.00         	48.24        	26.90        	75.13        
4.43         	0.00         	394.85       	0.00         	0.00         	0.00         	48.71        	27.17        	75.88        
4.41         	0.00         	394.34       	0.00         	0.00         	0.00         	48.52        	27.08        	75.60        
4.51         	0.00         	363.83       	0.03         	0.00         	0.03         	48.47        	27.02        	75.49        
4.27         	0.08         	392.36       	0.02         	0.00         	0.02         	48.48        	27.04        	75.52        
4.34         	0.00         	384.55       	0.00         	0.00         	0.00         	48.57        	27.10        	75.66        
4.50         	0.00         	391.94       	0.00         	0.00         	0.00         	48.29        	26.94        	75.23        
4.51         	0.00         	384.99       	0.00         	0.00         	0.00         	48.24        	26.90        	75.14        
4.48         	0.00         	388.06       	0.02         	0.00         	0.02         	48.41        	27.00        	75.42        
4.49         	0.00         	388.83       	0.03         	0.00         	0.03         	48.41        	26.99        	75.40        
4.28         	0.04         	388.26       	0.00         	0.00         	0.00         	48.19        	26.86        	75.04        
4.34         	0.00         	383.13       	0.00         	0.00         	0.00         	48.34        	26.96        	75.30        
4.33         	0.00         	393.57       	0.00         	0.00         	0.00         	48.64        	27.09        	75.73        
4.38         	0.00         	399.17       	0.02         	0.00         	0.02         	48.41        	26.99        	75.40        
4.46         	0.08         	361.28       	0.03         	0.00         	0.03         	48.48        	27.05        	75.53        
4.42         	0.00         	385.29       	0.00         	0.00         	0.00         	48.70        	27.14        	75.84        
4.36         	0.00         	382.51       	0.00         	0.00         	0.00         	48.30        	26.94        	75.24        
4.43         	0.00         	378.36       	0.00         	0.00         	0.00         	48.22        	26.89        	75.10        
4.34         	0.00         	389.35       	0.02         	0.00         	0.02         	48.50        	27.05        	75.55        
4.38         	0.04         	386.71       	0.01         	0.00         	0.01         	48.50        	27.04        	75.53        
4.38         	0.04         	362.79       	0.00         	0.00         	0.00         	48.48        	27.03        	75.52        
4.67         	0.00         	388.30       	0.00         	0.00         	0.00         	48.70        	27.14        	75.84        
4.54         	0.00         	376.13       	0.00         	0.00         	0.00         	48.69        	27.15        	75.84        
4.43         	0.00         	377.77       	0.01         	0.00         	0.01         	48.46        	27.03        	75.49        
4.39         	0.04         	377.28       	0.02         	0.00         	0.02         	48.23        	26.89        	75.12        
